STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Arunachal Pradesh,Tawang,Tawang
Arunachal Pradesh,Tawang,Zemithang
Arunachal Pradesh,Tawang,Lumla
Arunachal Pradesh,Tawang,Dudunghar
Arunachal Pradesh,Tawang,Kitpi
Arunachal Pradesh,Tawang,Jang
Arunachal Pradesh,Tawang,Lhou
Arunachal Pradesh,Tawang,Mukto
Arunachal Pradesh,Tawang,Bongkhar
Arunachal Pradesh,Tawang,Thingbu
Arunachal Pradesh,West Kameng,West Kameng
Arunachal Pradesh,West Kameng,Dirang
Arunachal Pradesh,West Kameng,Thembang
Arunachal Pradesh,West Kameng,Nafra
Arunachal Pradesh,West Kameng,Bomdila
Arunachal Pradesh,West Kameng,Kalaktang
Arunachal Pradesh,West Kameng,Shergaon
Arunachal Pradesh,West Kameng,Rupa
Arunachal Pradesh,West Kameng,Singchung
Arunachal Pradesh,West Kameng,Jamiri
Arunachal Pradesh,West Kameng,Thrizino
Arunachal Pradesh,West Kameng,Bhalukpong
Arunachal Pradesh,West Kameng,Kamengbari-Doimara
Arunachal Pradesh,West Kameng,Balemu
Arunachal Pradesh,East Kameng,East Kameng
Arunachal Pradesh,East Kameng,Seijosa
Arunachal Pradesh,East Kameng,Dissing-Passo
Arunachal Pradesh,East Kameng,Pakke-Kessang
Arunachal Pradesh,East Kameng,Pizirang(Veo
Arunachal Pradesh,East Kameng,Richukrong
Arunachal Pradesh,East Kameng,Seppa
Arunachal Pradesh,East Kameng,Lada
Arunachal Pradesh,East Kameng,Bameng
Arunachal Pradesh,East Kameng,Pipu-Dipu
Arunachal Pradesh,East Kameng,Gyawe Purang
Arunachal Pradesh,East Kameng,Khenewa
Arunachal Pradesh,East Kameng,Chayangtajo
Arunachal Pradesh,East Kameng,Sawa
Arunachal Pradesh,Papum Pare,Papum Pare
Arunachal Pradesh,Papum Pare,Balijan
Arunachal Pradesh,Papum Pare,Banderdawa
Arunachal Pradesh,Papum Pare,Sangdupota (Besar Nello
Arunachal Pradesh,Papum Pare,Taraso
Arunachal Pradesh,Papum Pare,Itanagar
Arunachal Pradesh,Papum Pare,Naharlagun
Arunachal Pradesh,Papum Pare,Doimukh
Arunachal Pradesh,Papum Pare,Gumto
Arunachal Pradesh,Papum Pare,Toru
Arunachal Pradesh,Papum Pare,Sagalee
Arunachal Pradesh,Papum Pare,Parang
Arunachal Pradesh,Papum Pare,Leporiang
Arunachal Pradesh,Papum Pare,Mengio
Arunachal Pradesh,Papum Pare,Kimin
Arunachal Pradesh,Papum Pare,Kakoi
Arunachal Pradesh,Upper Subansiri,Upper Subansiri
Arunachal Pradesh,Upper Subansiri,Taksing
