STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Mizoram,Mamit,Mamit
Mizoram,Mamit,Zawlnuam
Mizoram,Mamit,West Phaileng
Mizoram,Mamit,Reiek
Mizoram,Kolasib,Kolasib
Mizoram,Kolasib, 'N' Thingdawl
Mizoram,Kolasib,Bilkhawthlir
Mizoram,Kolasib,Tlangnuam (Par
Mizoram,Aizawl,Aizawl
Mizoram,Aizawl,Darlawn
Mizoram,Aizawl,Phullen
Mizoram,Aizawl,Aibawk
Mizoram,Aizawl,Tlangnuam (Par)
Mizoram,Aizawl,Thingsulthliah (Par)
Mizoram,Champhai,Champhai
Mizoram,Champhai,Ngopa
Mizoram,Champhai,Khawzawl
Mizoram,Champhai,Khawbung
Mizoram,Champhai,East Lungdar (Par)
Mizoram,Serchhip,Serchhip
Mizoram,Serchhip,Thingsulthliah (Par)
Mizoram,Serchhip,East Lungdar (Par)
Mizoram,Lunglei,Lunglei
Mizoram,Lunglei,West Bunghmun
Mizoram,Lunglei,Lungsen
Mizoram,Lunglei,Hnahthial
Mizoram,Lawngtlai,Lawngtlai
Mizoram,Lawngtlai,Chawngte
Mizoram,Lawngtlai,S' Bungtlang
Mizoram,Lawngtlai,Sangau
Mizoram,Saiha,Saiha
Mizoram,Saiha,Tuipang
