STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Andhra Pradesh,Adilabad,Adilabad
Andhra Pradesh,Adilabad,Tamsi
Andhra Pradesh,Adilabad,Jainad
Andhra Pradesh,Adilabad,Bela
Andhra Pradesh,Adilabad,Talamadugu
Andhra Pradesh,Adilabad,Gudihathnoor
Andhra Pradesh,Adilabad,Inderavelly
Andhra Pradesh,Adilabad,Narnoor
Andhra Pradesh,Adilabad,Kerameri
Andhra Pradesh,Adilabad,Wankdi
Andhra Pradesh,Adilabad,Sirpur (T
Andhra Pradesh,Adilabad,Kouthala
Andhra Pradesh,Adilabad,Bejjur
Andhra Pradesh,Adilabad,Kagaznagar
Andhra Pradesh,Adilabad,Asifabad
Andhra Pradesh,Adilabad,Jainoor
Andhra Pradesh,Adilabad,Utnoor
Andhra Pradesh,Adilabad,Ichoda
Andhra Pradesh,Adilabad,Bazarhathnoor
Andhra Pradesh,Adilabad,Boath
Andhra Pradesh,Adilabad,Neradigonda
Andhra Pradesh,Adilabad,Sirpur
Andhra Pradesh,Adilabad,Rebbana
Andhra Pradesh,Adilabad,Bhimini
Andhra Pradesh,Adilabad,Dahegaon
Andhra Pradesh,Adilabad,Vemanpalle
Andhra Pradesh,Adilabad,Nennal
Andhra Pradesh,Adilabad,Tandur
Andhra Pradesh,Adilabad,Tiryani
Andhra Pradesh,Adilabad,Jannaram
Andhra Pradesh,Adilabad,Kaddam (Peddur
Andhra Pradesh,Adilabad,Sarangapur
Andhra Pradesh,Adilabad,Kuntala
Andhra Pradesh,Adilabad,Kubeer
Andhra Pradesh,Adilabad,Bhainsa
Andhra Pradesh,Adilabad,Tanoor
Andhra Pradesh,Adilabad,Mudhole
Andhra Pradesh,Adilabad,Lokeswaram
Andhra Pradesh,Adilabad,Dilawarpur
Andhra Pradesh,Adilabad,Nirmal
Andhra Pradesh,Adilabad,Laxmanchanda
Andhra Pradesh,Adilabad,Mamda
Andhra Pradesh,Adilabad,Khanapur
Andhra Pradesh,Adilabad,Dandepalle
Andhra Pradesh,Adilabad,Kasipe
Andhra Pradesh,Adilabad,Bellampalle
Andhra Pradesh,Adilabad,Kotapalle
Andhra Pradesh,Adilabad,Mandamarri
Andhra Pradesh,Adilabad,Luxettipe
Andhra Pradesh,Adilabad,Mancherial
Andhra Pradesh,Adilabad,Jaipur
Andhra Pradesh,Adilabad,Chennur
Andhra Pradesh,Nizamabad,Nizamabad
Andhra Pradesh,Nizamabad,Ranjal
Andhra Pradesh,Nizamabad,Navipe
Andhra Pradesh,Nizamabad,Nandipe
Andhra Pradesh,Nizamabad,Armur
Andhra Pradesh,Nizamabad,Balkonda
Andhra Pradesh,Nizamabad,Mortad
Andhra Pradesh,Nizamabad,Kammarpalle
Andhra Pradesh,Nizamabad,Bheemgal
Andhra Pradesh,Nizamabad,Velpur
Andhra Pradesh,Nizamabad,Jakranpalle
Andhra Pradesh,Nizamabad,Makloor
Andhra Pradesh,Nizamabad,Yedpalle
Andhra Pradesh,Nizamabad,Bodhan
Andhra Pradesh,Nizamabad,Kotgiri
Andhra Pradesh,Nizamabad,Madnoor
Andhra Pradesh,Nizamabad,Jukkal
Andhra Pradesh,Nizamabad,Bichkunda
Andhra Pradesh,Nizamabad,Birkoor
Andhra Pradesh,Nizamabad,Varni
Andhra Pradesh,Nizamabad,Dichpalle
Andhra Pradesh,Nizamabad,Dharpalle
Andhra Pradesh,Nizamabad,Sirkonda
Andhra Pradesh,Nizamabad,Machareddy
Andhra Pradesh,Nizamabad,Sadasivanagar
Andhra Pradesh,Nizamabad,Gandhari
Andhra Pradesh,Nizamabad,Banswada
Andhra Pradesh,Nizamabad,Pitlam
Andhra Pradesh,Nizamabad,Nizamsagar
Andhra Pradesh,Nizamabad,Yellareddy
Andhra Pradesh,Nizamabad,Nagareddipe
Andhra Pradesh,Nizamabad,Lingampe
Andhra Pradesh,Nizamabad,Tadwai
Andhra Pradesh,Nizamabad,Kamareddy
Andhra Pradesh,Nizamabad,Bhiknoor
Andhra Pradesh,Nizamabad,Domakonda
Andhra Pradesh,Karimnagar,Karimnagar
Andhra Pradesh,Karimnagar,Ibrahimpatnam
Andhra Pradesh,Karimnagar,Mallapur
Andhra Pradesh,Karimnagar,Raikal
Andhra Pradesh,Karimnagar,Sarangapur
Andhra Pradesh,Karimnagar,Dharmapuri
Andhra Pradesh,Karimnagar,Velgatoor
Andhra Pradesh,Karimnagar,Ramagundam
Andhra Pradesh,Karimnagar,Kamanpur
Andhra Pradesh,Karimnagar,Manthani
Andhra Pradesh,Karimnagar,Kataram
Andhra Pradesh,Karimnagar,Mahadevpur
Andhra Pradesh,Karimnagar,Mutharam (Mahadevpur
Andhra Pradesh,Karimnagar,Malharrao
Andhra Pradesh,Karimnagar,Mutharam (Manthani
Andhra Pradesh,Karimnagar,Srirampur
Andhra Pradesh,Karimnagar,Peddapalle
Andhra Pradesh,Karimnagar,Julapalle
Andhra Pradesh,Karimnagar,Elgaid
Andhra Pradesh,Karimnagar,Dharmaram
Andhra Pradesh,Karimnagar,Gollapalle
Andhra Pradesh,Karimnagar,Mallial
Andhra Pradesh,Karimnagar,Jagtial
Andhra Pradesh,Karimnagar,Medipalle
Andhra Pradesh,Karimnagar,Koratla
Andhra Pradesh,Karimnagar,Metpalle
Andhra Pradesh,Karimnagar,Kathlapur
Andhra Pradesh,Karimnagar,Chandurthi
Andhra Pradesh,Karimnagar,Kodimial
Andhra Pradesh,Karimnagar,Pegadapalle
Andhra Pradesh,Karimnagar,Gangadhara
Andhra Pradesh,Karimnagar,Ramadugu
Andhra Pradesh,Karimnagar,Choppadandi
Andhra Pradesh,Karimnagar,Sultanabad
