STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Tripura,West Tripura,West Tripura
Tripura,West Tripura,Mohanpur
Tripura,West Tripura,Hezamara
Tripura,West Tripura,Padmabil
Tripura,West Tripura,Khowai
Tripura,West Tripura,Tulashikhar
Tripura,West Tripura,Kalyanpur
Tripura,West Tripura,Teliamura
Tripura,West Tripura,Mungiakumi
Tripura,West Tripura,Mandai
Tripura,West Tripura,Jirania
Tripura,West Tripura,Dukli
Tripura,West Tripura,Jampuijala
Tripura,West Tripura,Bishalgarh
Tripura,West Tripura,Boxanagar
Tripura,West Tripura,Melaghar
Tripura,West Tripura,Kathalia
Tripura,South Tripura,South Tripura
Tripura,South Tripura,Killa
Tripura,South Tripura,Amarpur
Tripura,South Tripura,Ompi
Tripura,South Tripura,Matarbari
Tripura,South Tripura,Kakraban
Tripura,South Tripura,Rajnagar
Tripura,South Tripura,Hrishyamukh
Tripura,South Tripura,Bokafa
Tripura,South Tripura,Karbuk
Tripura,South Tripura,Rupaichhari
Tripura,South Tripura,Satchand
Tripura,Dhalai,Dhalai
Tripura,Dhalai,Salema
Tripura,Dhalai,Manu
Tripura,Dhalai,Ambassa
Tripura,Dhalai,Chhamanu
Tripura,Dhalai,Dumburnagar
Tripura,North Tripura,North Tripura
Tripura,North Tripura,Gournagar
Tripura,North Tripura,Kadamtala
Tripura,North Tripura,Panisagar
Tripura,North Tripura,Damchhara
Tripura,North Tripura,Pencharthal
Tripura,North Tripura,Kumargha
Tripura,North Tripura,Dasda
Tripura,North Tripura,Jampuii hills
