STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Jharkhand,Garhwa,Garhwa
Jharkhand,Garhwa,Kharaundhi
Jharkhand,Garhwa,Bhawnathpur
Jharkhand,Garhwa,Ketar
Jharkhand,Garhwa,Kandi
Jharkhand,Garhwa,Majhiaon
Jharkhand,Garhwa,Bardiha
Jharkhand,Garhwa,Ramna
Jharkhand,Garhwa,Bishunpura
Jharkhand,Garhwa,Nagaruntari
Jharkhand,Garhwa,Dhurki
Jharkhand,Garhwa,Sagma
Jharkhand,Garhwa,Dandai
Jharkhand,Garhwa,Chinia
Jharkhand,Garhwa,Meral (Pipra Kalan
Jharkhand,Garhwa,Garhwa
Jharkhand,Garhwa,Danda
Jharkhand,Garhwa,Ranka
Jharkhand,Garhwa,Ramkanda
Jharkhand,Garhwa,Bhandaria
Jharkhand,Chatra,Chatra
Jharkhand,Chatra,Shaligram Ram Narayanpur(Hunterganj
Jharkhand,Chatra,Pratappur
Jharkhand,Chatra,Kunda
Jharkhand,Chatra,Lawalaung
Jharkhand,Chatra,Kanha Chatti
Jharkhand,Chatra,Itkhori
Jharkhand,Chatra,Mayur Hand
Jharkhand,Chatra,Gidhaur
Jharkhand,Chatra,Pathalgora
Jharkhand,Chatra,Simaria
Jharkhand,Chatra,Tandwa
Jharkhand,Kodarma,Kodarma
Jharkhand,Kodarma,Satgawan
Jharkhand,Kodarma,Domchanch
Jharkhand,Kodarma,Jainagar
Jharkhand,Kodarma,Chandwara
Jharkhand,Kodarma,Markacho
Jharkhand,Giridih,Giridih
Jharkhand,Giridih,Gawan
Jharkhand,Giridih,Tisri
Jharkhand,Giridih,Deori
Jharkhand,Giridih,Dhanwar
Jharkhand,Giridih,Jamua
Jharkhand,Giridih,Bengabad
Jharkhand,Giridih,Gande
Jharkhand,Giridih,Birni
Jharkhand,Giridih,Bagodar
Jharkhand,Giridih,Sariya
Jharkhand,Giridih,Dumri
Jharkhand,Giridih,Pirtanr
Jharkhand,Deoghar,Deoghar
Jharkhand,Deoghar,Mohanpur
Jharkhand,Deoghar,Sarwan
Jharkhand,Deoghar,Sona Rai Tharhi
Jharkhand,Deoghar,Devipur
Jharkhand,Deoghar,Madhupur
Jharkhand,Deoghar,Margo Munda
Jharkhand,Deoghar,Karon
Jharkhand,Deoghar,Sarath
Jharkhand,Deoghar,Palojori
Jharkhand,Godda,Godda
Jharkhand,Godda,Meherma
Jharkhand,Godda,Thakurgangti
Jharkhand,Godda,Boarijor
Jharkhand,Godda,Mahagama
Jharkhand,Godda,Pathargama
Jharkhand,Godda,Bashant Rai
Jharkhand,Godda,Poreyaha
Jharkhand,Godda,Sundarpahari
Jharkhand,Sahibganj,Sahibganj
Jharkhand,Sahibganj,Mandro
Jharkhand,Sahibganj,Borio
Jharkhand,Sahibganj,Barhai
Jharkhand,Sahibganj,Taljhari
Jharkhand,Sahibganj,Rajmahal
Jharkhand,Sahibganj,Udhwa
Jharkhand,Sahibganj,Pathna
Jharkhand,Sahibganj,Barharwa
Jharkhand,Pakur,Pakur
Jharkhand,Pakur,Litipara
Jharkhand,Pakur,Amrapara
Jharkhand,Pakur,Hiranpur
Jharkhand,Pakur,Pakaur
Jharkhand,Pakur,Maheshpur
Jharkhand,Pakur,Pakuria
Jharkhand,Dhanbad,Dhanbad
Jharkhand,Dhanbad,Tundi
Jharkhand,Dhanbad,Purbi Tundi
Jharkhand,Dhanbad,Topchanchi
Jharkhand,Dhanbad,Baghmara-Cum-Katras
Jharkhand,Dhanbad,Gobindpur
Jharkhand,Dhanbad,Dhanbad-Cum-Kenduadih-Cum-Jagata
Jharkhand,Dhanbad,Jharia-Cum-Jorapokhar-Cum-Sindri
Jharkhand,Dhanbad,Baliapur
Jharkhand,Dhanbad,Nirsa-Cum-Chirkunda
Jharkhand,Bokaro,Bokaro
Jharkhand,Bokaro,Nawadih
Jharkhand,Bokaro,Chandrapura
Jharkhand,Bokaro,Bermo
Jharkhand,Bokaro,Gumia
Jharkhand,Bokaro,Peterwar
Jharkhand,Bokaro,Kasmar
Jharkhand,Bokaro,Jaridih
Jharkhand,Bokaro,Chas
Jharkhand,Bokaro,Chandankiyari
Jharkhand,Lohardaga,Lohardaga
Jharkhand,Lohardaga,Kisko
Jharkhand,Lohardaga,Peshrar
Jharkhand,Lohardaga,Kuru
Jharkhand,Lohardaga,Kairo
Jharkhand,Lohardaga,Senha
Jharkhand,Lohardaga,Bhandra
Jharkhand,Purbi Singhbhum,Purbi Singhbhum
Jharkhand,Purbi Singhbhum,Patamda
Jharkhand,Purbi Singhbhum,Boram
Jharkhand,Purbi Singhbhum,Golmuri-Cum-Jugsalai
Jharkhand,Purbi Singhbhum,Ghatshila
Jharkhand,Purbi Singhbhum,Potka
Jharkhand,Purbi Singhbhum,Musabani
Jharkhand,Purbi Singhbhum,Dumaria
Jharkhand,Purbi Singhbhum,Dhalbhumgarh
Jharkhand,Purbi Singhbhum,Gurbandha
Jharkhand,Purbi Singhbhum,Chakulia
Jharkhand,Purbi Singhbhum,Baharagora
Jharkhand,Palamu,Palamu
Jharkhand,Palamu,Hussainabad
Jharkhand,Palamu,Haidernagar
Jharkhand,Palamu,Mohammad Ganj
Jharkhand,Palamu,Hariharganj
Jharkhand,Palamu,Pipra
Jharkhand,Palamu,Chhatarpur
Jharkhand,Palamu,Nawadiha Bazar/Nawadiha
Jharkhand,Palamu,Pandu
Jharkhand,Palamu,Untari Road
Jharkhand,Palamu,Bishrampur
Jharkhand,Palamu,Nawa Bazar
Jharkhand,Palamu,Patan
Jharkhand,Palamu,Padwa
Jharkhand,Palamu,Manatu
Jharkhand,Palamu,Tarhasi
Jharkhand,Palamu,Panki
Jharkhand,Palamu,Satbarwa
Jharkhand,Palamu,Nilambar-Pitambarpur(Lesliganj
Jharkhand,Palamu,Medininagar(Daltonganj
Jharkhand,Palamu,Chainpur
Jharkhand,Latehar,Latehar
Jharkhand,Latehar,Manika
Jharkhand,Latehar,Barwadih
Jharkhand,Latehar,Mahuadanr
Jharkhand,Latehar,Garu
Jharkhand,Latehar,Balumath
Jharkhand,Latehar,Bariyatu
Jharkhand,Latehar,Herhanj
Jharkhand,Latehar,Chandwa
Jharkhand,Hazaribagh,Hazaribagh
Jharkhand,Hazaribagh,Chauparan
Jharkhand,Hazaribagh,Barhi
Jharkhand,Hazaribagh,Padma
Jharkhand,Hazaribagh,Ichak
Jharkhand,Hazaribagh,Tati Jhariya
Jharkhand,Hazaribagh,Daru
Jharkhand,Hazaribagh,Barkatha
Jharkhand,Hazaribagh,Chalkusa
Jharkhand,Hazaribagh,Bishungarh
Jharkhand,Hazaribagh,Hazaribag
Jharkhand,Hazaribagh,Katkamsandi
Jharkhand,Hazaribagh,Katamdag
Jharkhand,Hazaribagh,Keredari
Jharkhand,Hazaribagh,Barkagaon
Jharkhand,Hazaribagh,Churchu
Jharkhand,Hazaribagh,Dadi
Jharkhand,Ramgarh,Ramgarh
Jharkhand,Ramgarh,Patratu
Jharkhand,Ramgarh,Mandu
Jharkhand,Ramgarh,Dulmi
Jharkhand,Ramgarh,Chitarpur
Jharkhand,Ramgarh,Gola
Jharkhand,Dumka,Dumka
Jharkhand,Dumka,Saraiyaha
Jharkhand,Dumka,Jarmundi
Jharkhand,Dumka,Ramgarh
Jharkhand,Dumka,Gopikandar
Jharkhand,Dumka,Kathikund
Jharkhand,Dumka,Shikaripara
Jharkhand,Dumka,Ranishwar
Jharkhand,Dumka,Jama
Jharkhand,Dumka,Masalia
Jharkhand,Jamtara,Jamtara
Jharkhand,Jamtara,Narayanpur
Jharkhand,Jamtara,Karma Tanr Vidyasagar
Jharkhand,Jamtara,Nala
Jharkhand,Jamtara,Fatehpur
Jharkhand,Jamtara,Kundhi
Jharkhand,Ranchi,Ranchi
Jharkhand,Ranchi,Burmu
Jharkhand,Ranchi,Khelari
Jharkhand,Ranchi,Kanke
Jharkhand,Ranchi,Ormanjhi
Jharkhand,Ranchi,Angara
