STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Delhi,North West,North West
Delhi,North West,Narela
Delhi,North West,Saraswati Vihar
Delhi,North West,Model Town
Delhi,North,North
Delhi,North,Civil Lines
Delhi,North,Sadar Bazar
Delhi,North,Kotwali
Delhi,North East,North Eas
Delhi,North East,Seelam Pur
Delhi,North East,Shahdara
Delhi,North East,Seema Puri
Delhi,East,East
Delhi,East,Gandhi Nagar
Delhi,East,Vivek Vihar
Delhi,East,Preet Vihar
Delhi,New Delhi,New Delhi
Delhi,New Delhi,Connaught Place
Delhi,New Delhi,Chanakya Puri
Delhi,New Delhi,Parliament Street
Delhi,Central,Central
Delhi,Central,Darya Ganj
Delhi,Central,Pahar Ganj
Delhi,Central,Karol Bagh
Delhi,West,West
Delhi,West,Patel Nagar
Delhi,West,Rajouri Garden
Delhi,West,Punjabi Bagh
Delhi,South West,South West
Delhi,South West,Najafgarh
Delhi,South West,Delhi Cantonment
Delhi,South West,Vasant Vihar
Delhi,South,South
Delhi,South,Hauz Khas
Delhi,South,Defence Colony
Delhi,South,Kalkaji
