STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Punjab,Gurdaspur,Gurdaspur
Punjab,Gurdaspur,Dhar Kalan
Punjab,Gurdaspur,Pathanko
Punjab,Gurdaspur,Gurdaspur
Punjab,Gurdaspur,Batala
Punjab,Gurdaspur,Dera Baba Nanak
Punjab,Kapurthala,Kapurthala
Punjab,Kapurthala,Bhulath
Punjab,Kapurthala,Sultanpur Lodhi
Punjab,Kapurthala,Phagwara
Punjab,Jalandhar,Jalandhar
Punjab,Jalandhar,Shahko
Punjab,Jalandhar,Nakodar
Punjab,Jalandhar,Phillaur
Punjab,Jalandhar,Jalandhar - I
Punjab,Jalandhar,Jalandhar - II
Punjab,Hoshiarpur,Hoshiarpur
Punjab,Hoshiarpur,Dasua
Punjab,Hoshiarpur,Mukerian
Punjab,Hoshiarpur,Hoshiarpur
Punjab,Hoshiarpur,Garhshankar
Punjab,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar
Punjab,Shahid Bhagat Singh Nagar,Nawanshahr
Punjab,Shahid Bhagat Singh Nagar,Balachaur
Punjab,Fatehgarh Sahib,Fatehgarh Sahib
Punjab,Fatehgarh Sahib,Bassi Pathana
Punjab,Fatehgarh Sahib,Amloh
Punjab,Fatehgarh Sahib,Khamanon
Punjab,Ludhiana,Ludhiana
Punjab,Ludhiana,Samrala
Punjab,Ludhiana,Khanna
Punjab,Ludhiana,Payal
Punjab,Ludhiana,Ludhiana (East)
Punjab,Ludhiana,Ludhiana (West)
Punjab,Ludhiana,Raiko
Punjab,Ludhiana,Jagraon
Punjab,Moga,Moga
Punjab,Moga,Nihal Singhwala
Punjab,Moga,Bagha Purana
Punjab,Firozpur,Firozpur
Punjab,Firozpur,Zira
Punjab,Firozpur,Jalalabad
Punjab,Firozpur,Fazilka
Punjab,Firozpur,Abohar
Punjab,Muktsar,Muktsar
Punjab,Muktsar,Malou
Punjab,Muktsar,Gidderbaha
Punjab,Faridkot,Faridko
Punjab,Faridkot,Jaitu
Punjab,Bathinda,Bathinda
Punjab,Bathinda,Rampura Phul
Punjab,Bathinda,Talwandi Sabo
Punjab,Mansa,Mansa
Punjab,Mansa,Sardulgarh
Punjab,Mansa,Budhlada
Punjab,Patiala,Patiala
Punjab,Patiala,Samana
Punjab,Patiala,Patran
Punjab,Patiala,Nabha
Punjab,Patiala,Rajpura
Punjab,Amritsar,Amritsar
Punjab,Amritsar,Ajnala
Punjab,Amritsar,Amritsar - I
Punjab,Amritsar,Amritsar - II
Punjab,Amritsar,Baba Bakala
Punjab,Tarn Taran,Tarn Taran
Punjab,Tarn Taran,Patti
Punjab,Tarn Taran,Khadur Sahib
Punjab,Rupnagar,Rupnagar
Punjab,Rupnagar,Anandpur Sahib
Punjab,Rupnagar,Nangal
Punjab,Rupnagar,Rup Nagar
Punjab,Rupnagar,Chamkaur Sahib
Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar
Punjab,Sahibzada Ajit Singh Nagar,Kharar
Punjab,Sahibzada Ajit Singh Nagar,SAS Nagar (Mohali)
Punjab,Sahibzada Ajit Singh Nagar,Dera Bassi
Punjab,Sangrur,Sangrur
Punjab,Sangrur,Malerkotla
Punjab,Sangrur,Dhuri
Punjab,Sangrur,Sunam
Punjab,Sangrur,Lehra
Punjab,Sangrur,Moonak
Punjab,Barnala,Barnala
Punjab,Barnala,Tapa
