STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Uttar Pradesh,Saharanpur,Saharanpur
Uttar Pradesh,Saharanpur,Beha
Uttar Pradesh,Saharanpur,Nakur
Uttar Pradesh,Saharanpur,Deoband
Uttar Pradesh,Saharanpur,Rampur Maniharan
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar
Uttar Pradesh,Muzaffarnagar,Kairana
Uttar Pradesh,Muzaffarnagar,Shamli
Uttar Pradesh,Muzaffarnagar,Budhana
Uttar Pradesh,Muzaffarnagar,Khatauli
Uttar Pradesh,Muzaffarnagar,Jansath
Uttar Pradesh,Bijnor,Bijnor
Uttar Pradesh,Bijnor,Najibabad
Uttar Pradesh,Bijnor,Nagina
Uttar Pradesh,Bijnor,Dhampur
Uttar Pradesh,Bijnor,Chandpur
Uttar Pradesh,Moradabad,Moradabad
Uttar Pradesh,Moradabad,Thakurdwara
Uttar Pradesh,Moradabad,Kanth
Uttar Pradesh,Moradabad,Bilari
Uttar Pradesh,Moradabad,Sambhal
Uttar Pradesh,Moradabad,Chandausi
Uttar Pradesh,Rampur,Rampur
Uttar Pradesh,Rampur,Suar
Uttar Pradesh,Rampur,Tanda
Uttar Pradesh,Rampur,Bilaspur
Uttar Pradesh,Rampur,Shahabad
Uttar Pradesh,Rampur,Milak
Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar
Uttar Pradesh,Jyotiba Phule Nagar,Dhanaura
Uttar Pradesh,Jyotiba Phule Nagar,Amroha
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur
Uttar Pradesh,Meerut,Meeru
Uttar Pradesh,Meerut,Sardhana
Uttar Pradesh,Meerut,Mawana
Uttar Pradesh,Baghpat,Baghpa
Uttar Pradesh,Baghpat,Barau
Uttar Pradesh,Baghpat,Khekada
Uttar Pradesh,Ghaziabad,Ghaziabad
Uttar Pradesh,Ghaziabad,Modinagar
Uttar Pradesh,Ghaziabad,Hapur
Uttar Pradesh,Ghaziabad,Garhmukteshwar
Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar
Uttar Pradesh,Gautam Buddha Nagar,Dadri
Uttar Pradesh,Gautam Buddha Nagar,Jewar
Uttar Pradesh,Bulandshahr,Bulandshahr
Uttar Pradesh,Bulandshahr,Sikandrabad
Uttar Pradesh,Bulandshahr,Bulandshahr
Uttar Pradesh,Bulandshahr,Siana
Uttar Pradesh,Bulandshahr,Anupshahr
Uttar Pradesh,Bulandshahr,Debai
Uttar Pradesh,Bulandshahr,Shikarpur
Uttar Pradesh,Bulandshahr,Khurja
Uttar Pradesh,Aligarh,Aligarh
Uttar Pradesh,Aligarh,Khair
Uttar Pradesh,Aligarh,Gabhana
Uttar Pradesh,Aligarh,Atrauli
Uttar Pradesh,Aligarh,Koil
Uttar Pradesh,Aligarh,Iglas
Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar
Uttar Pradesh,Mahamaya Nagar,Sasni
Uttar Pradesh,Mahamaya Nagar,Sikandra Rao
Uttar Pradesh,Mahamaya Nagar,Hathras
Uttar Pradesh,Mahamaya Nagar,Sadabad
Uttar Pradesh,Mathura,Mathura
Uttar Pradesh,Mathura,Chhata
Uttar Pradesh,Mathura,Ma
Uttar Pradesh,Mathura,Mahavan
Uttar Pradesh,Agra,Agra
Uttar Pradesh,Agra,Etmadpur
Uttar Pradesh,Agra,Kiraoli
Uttar Pradesh,Agra,Kheragarh
Uttar Pradesh,Agra,Fatehabad
Uttar Pradesh,Agra,Bah
Uttar Pradesh,Firozabad,Firozabad
Uttar Pradesh,Firozabad,Tundla
Uttar Pradesh,Firozabad,Jasrana
Uttar Pradesh,Firozabad,Shikohabad
Uttar Pradesh,Mainpuri,Mainpuri
Uttar Pradesh,Mainpuri,Karhal
Uttar Pradesh,Mainpuri,Bhogaon
Uttar Pradesh,Budaun,Budaun
Uttar Pradesh,Budaun,Gunnaur
Uttar Pradesh,Budaun,Bisauli
Uttar Pradesh,Budaun,Bilsi
Uttar Pradesh,Budaun,Sahaswan
Uttar Pradesh,Budaun,Dataganj
Uttar Pradesh,Bareilly,Bareilly
Uttar Pradesh,Bareilly,Baheri
Uttar Pradesh,Bareilly,Meerganj
Uttar Pradesh,Bareilly,Aonla
Uttar Pradesh,Bareilly,Bareilly
Uttar Pradesh,Bareilly,Nawabganj
Uttar Pradesh,Bareilly,Faridpur
Uttar Pradesh,Pilibhit,Pilibhi
Uttar Pradesh,Pilibhit,Pilibhi
Uttar Pradesh,Pilibhit,Bisalpur
Uttar Pradesh,Pilibhit,Puranpur
Uttar Pradesh,Shahjahanpur,Shahjahanpur
Uttar Pradesh,Shahjahanpur,Powayan
Uttar Pradesh,Shahjahanpur,Tilhar
Uttar Pradesh,Shahjahanpur,Jalalabad
Uttar Pradesh,Kheri,Kheri
Uttar Pradesh,Kheri,Nighasan
Uttar Pradesh,Kheri,Palia
Uttar Pradesh,Kheri,Gola Gokaran Nath
Uttar Pradesh,Kheri,Mohammdi
Uttar Pradesh,Kheri,Lakhimpur
Uttar Pradesh,Kheri,Dhaurahara
Uttar Pradesh,Sitapur,Sitapur
Uttar Pradesh,Sitapur,Misrikh
Uttar Pradesh,Sitapur,Laharpur
Uttar Pradesh,Sitapur,Biswan
Uttar Pradesh,Sitapur,Mahmudabad
Uttar Pradesh,Sitapur,Sidhauli
Uttar Pradesh,Hardoi,Hardoi
Uttar Pradesh,Hardoi,Shahabad
Uttar Pradesh,Hardoi,Sawayajpur
Uttar Pradesh,Hardoi,Hardoi
Uttar Pradesh,Hardoi,Bilgram
Uttar Pradesh,Hardoi,Sandila
Uttar Pradesh,Unnao,Unnao
Uttar Pradesh,Unnao,Safipur
Uttar Pradesh,Unnao,Hasanganj
Uttar Pradesh,Unnao,Purwa
Uttar Pradesh,Unnao,Bighapur
Uttar Pradesh,Lucknow,Lucknow
Uttar Pradesh,Lucknow,Malihabad
Uttar Pradesh,Lucknow,Bakshi Ka Talab
Uttar Pradesh,Lucknow,Mohanlalganj
Uttar Pradesh,Rae Bareli,Rae Bareli
Uttar Pradesh,Rae Bareli,Maharajganj
Uttar Pradesh,Rae Bareli,Tiloi
Uttar Pradesh,Rae Bareli,Rae Bareli
Uttar Pradesh,Rae Bareli,Lalganj
Uttar Pradesh,Rae Bareli,Dalmau
Uttar Pradesh,Rae Bareli,Unchahar
Uttar Pradesh,Rae Bareli,Salon
Uttar Pradesh,Farrukhabad,Farrukhabad
Uttar Pradesh,Farrukhabad,Kaimganj
Uttar Pradesh,Farrukhabad,Amritpur
Uttar Pradesh,Farrukhabad,Farrukhabad
Uttar Pradesh,Kannauj,Kannauj
Uttar Pradesh,Kannauj,Chhibramau
Uttar Pradesh,Kannauj,Tirwa
Uttar Pradesh,Etawah,Etawah
Uttar Pradesh,Etawah,Jaswantnagar
Uttar Pradesh,Etawah,Saifai
Uttar Pradesh,Etawah,Bharthana
Uttar Pradesh,Etawah,Chakarnagar
Uttar Pradesh,Auraiya,Auraiya
Uttar Pradesh,Auraiya,Bidhuna
Uttar Pradesh,Auraiya,Auraiya
Uttar Pradesh,Kanpur Dehat,Kanpur Deha
Uttar Pradesh,Kanpur Dehat,Rasulabad
Uttar Pradesh,Kanpur Dehat,Derapur
Uttar Pradesh,Kanpur Dehat,Akbarpur
Uttar Pradesh,Kanpur Dehat,Bhognipur
Uttar Pradesh,Kanpur Dehat,Sikandra
Uttar Pradesh,Kanpur Nagar,Kanpur Nagar
