STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Uttarakhand,Uttarkashi,Uttarkashi
Uttarakhand,Uttarkashi,Puraula
Uttarakhand,Uttarkashi,Mori
Uttarakhand,Uttarkashi,Rajgarhi
Uttarakhand,Uttarkashi,Dunda
Uttarakhand,Uttarkashi,Chiniyalisaur
Uttarakhand,Uttarkashi,Bhatwari
Uttarakhand,Chamoli,Chamoli
Uttarakhand,Chamoli,Joshimath
Uttarakhand,Chamoli,Pokhari
Uttarakhand,Chamoli,Karnaprayag
Uttarakhand,Chamoli,Tharali
Uttarakhand,Chamoli,Gairsain
Uttarakhand,Rudraprayag,Rudraprayag
Uttarakhand,Rudraprayag,Ukhimath
Uttarakhand,Rudraprayag,"Rudraprayag"
Uttarakhand,Rudraprayag,Jakholi
Uttarakhand,Tehri Garhwal,Tehri Garhwal
Uttarakhand,Tehri Garhwal,Ghansali
Uttarakhand,Tehri Garhwal,Devprayag
Uttarakhand,Tehri Garhwal,Pratapnagar
Uttarakhand,Tehri Garhwal,Jakhani Dhar
Uttarakhand,Tehri Garhwal,Tehri
Uttarakhand,Tehri Garhwal,Dhanaulti
Uttarakhand,Tehri Garhwal,Narendra Nagar
Uttarakhand,Dehradun,Dehradun
Uttarakhand,Dehradun,Chakrata
Uttarakhand,Dehradun,Tyuni
Uttarakhand,Dehradun,Kalsi
Uttarakhand,Dehradun,Vikas Nagar
Uttarakhand,Dehradun,"Dehradun"
Uttarakhand,Dehradun,"Rishikesh"
Uttarakhand,Garhwal,Garhwal
Uttarakhand,Garhwal,Srinagar
Uttarakhand,Garhwal,Pauri
Uttarakhand,Garhwal,Thailisain
Uttarakhand,Garhwal,Dhoomako
Uttarakhand,Garhwal,Lansdowne
Uttarakhand,Garhwal,Satpuli
Uttarakhand,Garhwal,Chaubatta Khal
Uttarakhand,Garhwal,"Kotdwara"
Uttarakhand,Garhwal,Yamkeshwar
Uttarakhand,Pithoragarh,Pithoragarh
Uttarakhand,Pithoragarh,Munsiari
Uttarakhand,Pithoragarh,Dharchula
Uttarakhand,Pithoragarh,Didiha
Uttarakhand,Pithoragarh,Berinag
Uttarakhand,Pithoragarh,Gangoliha
Uttarakhand,Pithoragarh,"Pithoragarh"
Uttarakhand,Bageshwar,Bageshwar
Uttarakhand,Bageshwar,Kapko
Uttarakhand,Bageshwar,Kanda
Uttarakhand,Bageshwar,"Bageshwar"
Uttarakhand,Bageshwar,Garud
Uttarakhand,Almora,Almora
Uttarakhand,Almora,Bhikiasain
Uttarakhand,Almora,Chaukhutiya
Uttarakhand,Almora,Sul
Uttarakhand,Almora,Ranikhe
Uttarakhand,Almora,Dwaraha
Uttarakhand,Almora,Someshwar
Uttarakhand,Almora,Jainti
Uttarakhand,Almora,Bhanoli
Uttarakhand,Champawat,Champawa
Uttarakhand,Champawat,Pati
Uttarakhand,Champawat,Lohagha
Uttarakhand,Champawat,Poornagiri
Uttarakhand,Nainital,Nainital
Uttarakhand,Nainital,Kosya Kutauli
Uttarakhand,Nainital,Betalgha
Uttarakhand,Nainital,Dhari
Uttarakhand,Nainital,"Haldwani"
Uttarakhand,Nainital,Ramnagar
Uttarakhand,Nainital,Kaladhungi
Uttarakhand,Nainital,Lalkuan
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar
Uttarakhand,Udham Singh Nagar,Kashipur
Uttarakhand,Udham Singh Nagar,Jaspur
Uttarakhand,Udham Singh Nagar,Bajpur
Uttarakhand,Udham Singh Nagar,Kichha
Uttarakhand,Udham Singh Nagar,Gadarpur
Uttarakhand,Udham Singh Nagar,Sitarganj
Uttarakhand,Udham Singh Nagar,"Khatima"
Uttarakhand,Haridwar,Hardwar
Uttarakhand,Haridwar,Roorkee
Uttarakhand,Haridwar,"Laksar"
