STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Tamil Nadu,Thiruvallur,Thiruvallur
Tamil Nadu,Thiruvallur,Gummidipoondi
Tamil Nadu,Thiruvallur,Ponneri
Tamil Nadu,Thiruvallur,Uthukkottai
Tamil Nadu,Thiruvallur,Tiruttani
Tamil Nadu,Thiruvallur,Pallipattu
Tamil Nadu,Thiruvallur,Poonamallee
Tamil Nadu,Thiruvallur,Ambattur
Tamil Nadu,Thiruvallur,Mathavaram
Tamil Nadu,Chennai,Chennai
Tamil Nadu,Kancheepuram,Kancheepuram
Tamil Nadu,Kancheepuram,Sriperumbudur
Tamil Nadu,Kancheepuram,Tambaram
Tamil Nadu,Kancheepuram,Alandur
Tamil Nadu,Kancheepuram,Sholinganallur
Tamil Nadu,Kancheepuram,Chengalpattu
Tamil Nadu,Kancheepuram,Uthiramerur
Tamil Nadu,Kancheepuram,Tirukalukundram
Tamil Nadu,Kancheepuram,Maduranthakam
Tamil Nadu,Kancheepuram,Cheyyur
Tamil Nadu,Vellore,Vellore
Tamil Nadu,Vellore,Gudiyatham
Tamil Nadu,Vellore,Katpadi
Tamil Nadu,Vellore,Wallajah
Tamil Nadu,Vellore,Arakonam
Tamil Nadu,Vellore,Arco
Tamil Nadu,Vellore,Vaniyambadi
Tamil Nadu,Vellore,Ambur
Tamil Nadu,Vellore,Tirupathur
Tamil Nadu,Tiruvannamalai,Tiruvannamalai
Tamil Nadu,Tiruvannamalai,Arani
Tamil Nadu,Tiruvannamalai,Cheyyar
Tamil Nadu,Tiruvannamalai,Vandavasi
Tamil Nadu,Tiruvannamalai,Polur
Tamil Nadu,Tiruvannamalai,Chengam
Tamil Nadu,Tiruvannamalai,Thandrampe
Tamil Nadu,Viluppuram,Viluppuram
Tamil Nadu,Viluppuram,Gingee
Tamil Nadu,Viluppuram,Tindivanam
Tamil Nadu,Viluppuram,Vanur
Tamil Nadu,Viluppuram,Tirukkoyilur
Tamil Nadu,Viluppuram,Sankarapuram
Tamil Nadu,Viluppuram,Kallakkurichi
Tamil Nadu,Viluppuram,Ulundurpettai
Tamil Nadu,Salem,Salem
Tamil Nadu,Salem,Mettur
Tamil Nadu,Salem,Omalur
Tamil Nadu,Salem,Edappadi
Tamil Nadu,Salem,Sankari
Tamil Nadu,Salem,Yercaud
Tamil Nadu,Salem,Vazhapadi
Tamil Nadu,Salem,Attur
Tamil Nadu,Salem,Gangavalli
Tamil Nadu,Namakkal,Namakkal
Tamil Nadu,Namakkal,Tiruchengode
Tamil Nadu,Namakkal,Rasipuram
Tamil Nadu,Namakkal,Namakkal
Tamil Nadu,Namakkal,Paramathi-Velur
Tamil Nadu,Erode,Erode
Tamil Nadu,Erode,Sathyamangalam
Tamil Nadu,Erode,Bhavani
